system,channel,position,source,sampling_rate_hz,sample_count,duration_seconds,analysis_duration_seconds,unit,bearing_fault_metadata,bearing_fault_condition_used,rotor_fault_metadata,metadata_conflict,metadata_resolution,sensor_sensitivity_v_per_g,finite_fraction,mean_g,rms_g,common_0_7khz_rms_g,common_0_7khz_rms_retained_percent,first_30s_rms_g,final_30s_rms_g,final_vs_first_30s_rms_change_percent,peak_abs_g,peak_to_peak_g,crest_factor,kurtosis_pearson,range_utilization_percent,range_exceedance_fraction,rms_5s_mean_g,rms_5s_min_g,rms_5s_max_g,rms_5s_cv_percent,fft_global_peak_1_1000_hz,fft_global_peak_1_1000_amplitude_g,envelope_band_low_hz,envelope_band_high_hz,shaft_expected_hz,shaft_fft_peak_hz,shaft_fft_amplitude_g,shaft_fft_local_snr_db,shaft_envelope_peak_hz,shaft_envelope_amplitude_g,shaft_envelope_local_snr_db,ftf_expected_hz,ftf_fft_peak_hz,ftf_fft_amplitude_g,ftf_fft_local_snr_db,ftf_envelope_peak_hz,ftf_envelope_amplitude_g,ftf_envelope_local_snr_db,bpfo_expected_hz,bpfo_fft_peak_hz,bpfo_fft_amplitude_g,bpfo_fft_local_snr_db,bpfo_envelope_peak_hz,bpfo_envelope_amplitude_g,bpfo_envelope_local_snr_db,bpfi_expected_hz,bpfi_fft_peak_hz,bpfi_fft_amplitude_g,bpfi_fft_local_snr_db,bpfi_envelope_peak_hz,bpfi_envelope_amplitude_g,bpfi_envelope_local_snr_db,bsf_expected_hz,bsf_fft_peak_hz,bsf_fft_amplitude_g,bsf_fft_local_snr_db,bsf_envelope_peak_hz,bsf_envelope_amplitude_g,bsf_envelope_local_snr_db,2bpfi_expected_hz,2bpfi_envelope_peak_hz,2bpfi_envelope_amplitude_g,2bpfi_envelope_local_snr_db,screen_finite,screen_range,screen_shaft_peak,screen_bpfi_envelope
13A131 + NI-9234,CH0,ShaftEndTop,UOS_Compare/Channel 0/ShaftEndTop/H_H_25600_30204_1400_1.tdms,25600.000000000015,1536000,59.999999999999964,29.999999999999982,g,H,IR,H,Yes,User-confirmed raw metadata typo; analyzed as IR,0.0964,1.0,0.0028039246581980275,0.9059499614462078,0.637127178740431,70.32697233336782,0.9119536599346257,0.9059499614462078,-0.658333723760518,26.51965895720902,46.918287869813284,29.27276349222922,32.50199846207812,53.039317914418035,0.0,0.9055395451666319,0.8067187914876548,1.0321443621967323,9.082112159957079,23.25000000000001,0.23596742370947169,2000.0,7000.0,23.333333333333332,23.25000000000001,0.23596742370947169,67.53299474413825,23.25000000000001,0.16293171291955627,22.193382531302255,9.69484229664145,9.500000000000004,4.814785557170855e-05,3.1228783808732845,9.500000000000004,0.03305723377826951,8.248163446342318,145.42263444962174,145.25000000000006,0.0009226090490245601,5.461824165668698,146.25000000000006,0.02026701100488485,6.627942435240896,204.5773655503782,205.25000000000009,0.001542298687491304,5.280976552641706,205.25000000000009,0.11203675134791108,22.99820022224468,65.44125494354253,65.75000000000003,0.002902514807389168,10.47765836313676,64.50000000000003,0.031576539397496405,7.895806635990641,409.1547311007564,410.00000000000017,0.015044562228413237,8.774690348684759,Pass,Pass,Pass,Pass
13A131 + NI-9234,CH1,ShaftEndTop,UOS_Compare/Channel 1/ShaftEndTop/H_IR_25600_30204_1400_1.tdms,25600.000000000015,1543680,60.29999999999997,29.999999999999982,g,IR,IR,H,No,Raw metadata matches stated condition,0.101,1.0,0.003084298799139983,0.9265627230883158,0.6579416894513798,71.0088667563057,0.924080056393415,0.9265627230883158,0.268663594428209,32.23090202823055,53.40947678084157,34.78545081200989,31.99130433772829,64.4618040564611,0.0,0.9158694130350074,0.762236409712658,1.1281656150733297,15.140547166599255,23.25000000000001,0.21985085951883693,2000.0,7000.0,23.333333333333332,23.25000000000001,0.21985085951883693,63.972938109502806,23.25000000000001,0.15921672610928844,21.989042793457205,9.69484229664145,9.750000000000004,0.00011805952883826195,0.7246835461614703,9.500000000000004,0.033722626772186556,8.247437503894341,145.42263444962174,145.50000000000006,0.0007543782174687131,3.847555744325848,146.25000000000006,0.019809296760544572,5.743765184740543,204.5773655503782,205.50000000000009,0.0014963601413326422,4.78551566465422,205.25000000000009,0.09899568919404093,22.213005320229442,65.44125494354253,65.75000000000003,0.002507225058952218,10.105126608495887,64.50000000000003,0.027329448343221777,6.137180973315487,409.1547311007564,410.00000000000017,0.018450108136553428,9.85127891303372,Pass,Pass,Pass,Pass
13A131 + NI-9234,CH2,ShaftEndTop,UOS_Compare/Channel 2/ShaftEndTop/H_IR_25600_30204_1400_1.tdms,25600.000000000015,1536000,59.999999999999964,29.999999999999982,g,IR,IR,H,No,Raw metadata matches stated condition,0.0991,1.0,0.0013032878477954022,0.8963488927904467,0.6177447540934089,68.91789113168778,0.9023170693674837,0.8963488927904467,-0.6614278704957455,35.57729796237858,66.79651738964682,39.69135037543471,39.49859470270583,71.15459592475716,0.0,0.8909957977373714,0.7491860998029866,1.1158393997227432,14.325778959480251,23.25000000000001,0.21744574845398465,2000.0,7000.0,23.333333333333332,23.25000000000001,0.21744574845398465,65.10237732128938,23.25000000000001,0.12363136287591982,20.86636191378946,9.69484229664145,9.000000000000004,8.237532965688231e-05,0.8803410710759998,9.500000000000004,0.027255954460841492,7.343255675683958,145.42263444962174,145.25000000000006,0.0006778649930307134,2.7345227455848358,146.25000000000006,0.01639410646565953,3.794116174560868,204.5773655503782,205.50000000000009,0.0011977926350993562,2.393926772966877,205.50000000000009,0.0793700337481918,20.480287359428107,65.44125494354253,65.75000000000003,0.0018190331482348474,5.402474955214853,64.50000000000003,0.028480254885107175,7.443463864885873,409.1547311007564,410.00000000000017,0.014504132539661431,8.868353592418663,Pass,Pass,Pass,Pass
13A131 + NI-9234,CH3,ShaftEndTop,UOS_Compare/Channel 3/ShaftEndTop/H_IR_25600_30204_1400_1.tdms,25600.000000000015,1525760,59.599999999999966,29.999999999999982,g,IR,IR,H,No,Raw metadata matches stated condition,0.1001,1.0,0.001779008432825772,0.8821942040784049,0.6274879502545277,71.12809711893775,0.8751093305726111,0.8821942040784049,0.8095986705064506,31.550889255103645,52.446825275364645,35.76410852535998,31.04471542016814,63.10177851020728,0.0,0.8662609092460815,0.7235540015407672,1.1107767047384332,15.65135205563824,23.25000000000001,0.21714448484289275,2000.0,7000.0,23.333333333333332,23.25000000000001,0.21714448484289275,65.11219035564443,23.25000000000001,0.14435245102743496,22.704878009511784,9.69484229664145,9.500000000000004,0.00011444687678982017,4.3893086818178,9.500000000000004,0.0271862503009536,7.523633445701624,145.42263444962174,146.25000000000006,0.0004631967118666825,-0.5166456434856258,145.25000000000006,0.011012622007662513,1.5179759827443309,204.5773655503782,205.50000000000009,0.0014120465611186866,3.1731208162946873,205.50000000000009,0.09322970770050433,23.01494101150352,65.44125494354253,64.50000000000003,0.0019865646332212325,6.358927722328007,64.50000000000003,0.031646312086087154,9.29627160488126,409.1547311007564,410.00000000000017,0.008346219870347726,3.7583529712730472,Pass,Pass,Pass,Pass
13A131 + NI-9234,CH0,ShaftEndSide,UOS_Compare/Channel 0/ShaftEndSide/H_IR_25600_30204_1400_1.tdms,25600.000000000015,1538560,60.099999999999966,29.999999999999982,g,IR,IR,H,No,Raw metadata matches stated condition,0.0964,1.0,0.0027556758192234057,0.7930385521049881,0.45351481526515,57.18698215381469,0.8169005763271442,0.7930385521049881,-2.9210438716351317,31.779309937852975,62.208199407282166,40.07284368899862,39.14703616801108,63.55861987570594,0.0,0.8014835617457279,0.6997064194105908,0.9201614335679063,9.577786760192184,23.25000000000001,0.06353898124236641,2000.0,7000.0,23.333333333333332,23.25000000000001,0.06353898124236641,51.46984940244628,23.25000000000001,0.09765355721973255,21.311993295654478,9.69484229664145,9.500000000000004,0.000234444227235442,17.305444750545632,9.500000000000004,0.017359797357774633,6.342136647896054,145.42263444962174,145.25000000000006,0.0018397764333983736,3.328214802821675,146.25000000000006,0.011409475616169474,4.9853882474410804,204.5773655503782,205.25000000000009,0.0008137499798512608,1.6962085424929012,205.25000000000009,0.08039437144836555,23.94883017121596,65.44125494354253,65.75000000000003,0.0006396213230898085,7.0512232390975935,64.50000000000003,0.016879409545898495,7.37489877102173,409.1547311007564,410.00000000000017,0.012525822123039565,10.993081306718116,Pass,Pass,Pass,Pass
13A131 + NI-9234,CH1,ShaftEndSide,UOS_Compare/Channel 1/ShaftEndSide/H_IR_25600_30204_1400_1.tdms,25600.000000000015,1528320,59.69999999999997,29.999999999999982,g,IR,IR,H,No,Raw metadata matches stated condition,0.101,1.0,0.0030287814808943802,0.8177452024921397,0.4700283952653707,57.47858793092567,0.827780317375315,0.8177452024921397,-1.2122920384232128,28.053357394459695,50.044350172475234,34.30574378053823,30.347449037355773,56.10671478891939,0.0,0.8231042176021027,0.7129940558721859,0.9897175344738262,13.611756879859914,23.25000000000001,0.06953412118516629,2000.0,7000.0,23.333333333333332,23.25000000000001,0.06953412118516629,52.82852554287837,23.25000000000001,0.09878946252495897,21.33552005142694,9.69484229664145,9.500000000000004,0.00028843526594506135,15.184679219092619,9.500000000000004,0.015373895225955038,4.273221021811397,145.42263444962174,145.50000000000006,0.002078644867657593,5.3882326157350064,146.25000000000006,0.01291852988759414,4.806173695564891,204.5773655503782,205.50000000000009,0.0009165498666707532,3.70889941798977,205.25000000000009,0.07390535589690138,22.274890716644535,65.44125494354253,65.75000000000003,0.0003646388402501603,2.9980927623697697,64.50000000000003,0.019204773906120402,7.616952527643896,409.1547311007564,410.00000000000017,0.010341038860951194,8.98028803734247,Pass,Pass,Pass,Pass
13A131 + NI-9234,CH2,ShaftEndSide,UOS_Compare/Channel 2/ShaftEndSide/H_IR_25600_30204_1400_1.tdms,25600.000000000015,1541120,60.19999999999997,29.999999999999982,g,IR,IR,H,No,Raw metadata matches stated condition,0.0991,1.0,0.00194184816586963,0.830610778602039,0.46085153501283366,55.48345228416981,0.8266690024689776,0.830610778602039,0.4768264107265052,19.25776282130412,37.39099816898083,23.18506250751517,27.00547175996152,38.51552564260824,0.0,0.8221705813753246,0.7020948996523174,0.9939248559950763,13.315300939028685,23.25000000000001,0.06949130320029105,2000.0,7000.0,23.333333333333332,23.25000000000001,0.06949130320029105,52.312857557976294,23.25000000000001,0.10487716686722637,22.779542757513717,9.69484229664145,9.500000000000004,0.0003818160557815857,22.38770936887176,9.500000000000004,0.013805210052558583,4.917835721723421,145.42263444962174,145.50000000000006,0.002017626669243249,4.78531405488395,146.25000000000006,0.014186542020300114,6.252008316378931,204.5773655503782,204.50000000000009,0.000739681474247161,0.9825655931617922,205.50000000000009,0.08387983973439828,24.2453740603278,65.44125494354253,65.75000000000003,0.0004767896882980045,6.3037191746510555,64.50000000000003,0.019580337877954476,7.601609540207037,409.1547311007564,410.00000000000017,0.006515273309255585,4.689648186361918,Pass,Pass,Pass,Pass
13A131 + NI-9234,CH3,ShaftEndSide,UOS_Compare/Channel 3/ShaftEndSide/H_IR_25600_30204_1400_1.tdms,25600.000000000015,1538560,60.099999999999966,29.999999999999982,g,IR,IR,H,No,Raw metadata matches stated condition,0.1001,1.0,0.0019691117336610824,0.8672115038231438,0.4927865533059237,56.82426387720301,0.8568470834898316,0.8672115038231438,1.209599767918812,29.79128251452009,58.50610144283718,34.35296047525175,36.87440040952581,59.58256502904018,0.0,0.8550319620183456,0.7527788436604405,1.0239488224623643,13.316048001281205,23.25000000000001,0.06577116678809695,2000.0,7000.0,23.333333333333332,23.25000000000001,0.06577116678809695,51.47030054140552,23.25000000000001,0.10411559717777143,20.89964139315933,9.69484229664145,9.500000000000004,0.00037468011576577035,18.227212634491295,9.500000000000004,0.018699768119678502,6.229044461660219,145.42263444962174,145.50000000000006,0.0020947584822252497,4.0435267352275375,146.25000000000006,0.010125365547005537,2.3475667073694426,204.5773655503782,205.50000000000009,0.0008419149812110322,1.953460994289452,205.50000000000009,0.06678562233419795,21.973971611402135,65.44125494354253,65.75000000000003,0.000510964448311998,5.668792956564381,64.50000000000003,0.02432733628463122,8.05016231552846,409.1547311007564,410.00000000000017,0.007227794271660664,5.7448409891482815,Pass,Pass,Pass,Pass
13A131 + NI-9234,CH0,MotorEndTop,UOS_Compare/Channel 0/MotorEndTop/H_IR_25600_30204_1400_1.tdms,25600.000000000015,1541120,60.19999999999997,29.999999999999982,g,IR,IR,H,No,Raw metadata matches stated condition,0.0964,1.0,0.00270328016412583,0.46970307909903225,0.45192880722850043,96.21584940328137,0.47002011755977363,0.46970307909903225,-0.06745210447317573,4.568241597653753,7.0872057794605805,9.72580721935311,2.576728211320495,9.136483195307505,0.0,0.4697327592959378,0.45380303170173153,0.49089681882245056,2.828751472130511,23.25000000000001,0.3911680512327342,2000.0,7000.0,23.333333333333332,23.25000000000001,0.3911680512327342,70.37397776430483,23.25000000000001,0.04760092070223082,22.574940637204115,9.69484229664145,9.500000000000004,3.981830633805083e-05,5.718312100773618,9.500000000000004,0.007476170143963255,5.689211678919821,145.42263444962174,145.25000000000006,0.0013964294262660921,5.9788714820469755,146.25000000000006,0.004610975863812693,6.411324006872949,204.5773655503782,204.00000000000009,0.0011715316842621972,3.9042528453592116,205.25000000000009,0.022630035298574016,22.21609850428227,65.44125494354253,65.75000000000003,0.002057166983202294,9.643846108963439,65.50000000000003,0.007770818867804424,8.02033267107332,409.1547311007564,410.00000000000017,0.00550418488317813,11.650563767823957,Pass,Pass,Pass,Pass
13A131 + NI-9234,CH1,MotorEndTop,UOS_Compare/Channel 1/MotorEndTop/H_IR_25600_30204_1400_1.tdms,25600.000000000015,1546240,60.39999999999996,29.999999999999982,g,IR,IR,H,No,Raw metadata matches stated condition,0.101,1.0,0.002665908417896362,0.4466841417195895,0.42449482643628283,95.03243719423641,0.4479136497254118,0.4466841417195895,-0.2744966594735554,3.764589655447598,7.1833010896534635,8.427856070634487,2.614871450618266,7.529179310895195,0.0,0.4470461611347278,0.42722629505068976,0.4723289588464705,3.8298493554910404,23.25000000000001,0.3642303424876052,2000.0,7000.0,23.333333333333332,23.25000000000001,0.3642303424876052,71.17096192039689,23.25000000000001,0.0440193755952704,22.53616744165534,9.69484229664145,9.500000000000004,3.543808050526672e-05,5.452136617497314,10.500000000000005,0.004426502982973647,1.7731371259122455,145.42263444962174,145.50000000000006,0.0013181871510412424,5.6133941707623345,146.25000000000006,0.0036412828516054364,4.961313960215347,204.5773655503782,204.25000000000009,0.001092196292310493,2.973453107269832,205.25000000000009,0.018949313236712194,21.411886835672163,65.44125494354253,65.75000000000003,0.001997443991656848,9.416106063550174,64.50000000000003,0.006913876504267916,8.051732679530888,409.1547311007564,410.00000000000017,0.0020625478553357715,3.7336010633551284,Pass,Pass,Pass,Pass
