group,scenario_as_named,trial,archive_path,uncompressed_bytes,compressed_bytes,crc32,interval_seconds,stream_count,streams,units
25,Bearing (1) Ball & Bearing (2) Combination,1,Fault data split 25/Bearing (1) Ball & Bearing (2) Combination Trial 1.csv,18609712,5021971,372834cb,0.00015625,9,Tachometer|Motor|Bearing 1 Z|Bearing 1 Y|Bearing 1 X|Bearing 2 Z|Bearing 2 Y|Bearing 2 X|Gearbox,V|g|g|g|g|g|g|g|g
25,Bearing (1) Ball & Bearing (2) Combination,10,Fault data split 25/Bearing (1) Ball & Bearing (2) Combination Trial 10.csv,18612187,5047028,7fe3ede7,0.00015625,9,Tachometer|Motor|Bearing 1 Z|Bearing 1 Y|Bearing 1 X|Bearing 2 Z|Bearing 2 Y|Bearing 2 X|Gearbox,V|g|g|g|g|g|g|g|g
25,Bearing (1) Ball & Bearing (2) Combination,11,Fault data split 25/Bearing (1) Ball & Bearing (2) Combination Trial 11.csv,18613268,5042514,aa90fb48,0.00015625,9,Tachometer|Motor|Bearing 1 Z|Bearing 1 Y|Bearing 1 X|Bearing 2 Z|Bearing 2 Y|Bearing 2 X|Gearbox,V|g|g|g|g|g|g|g|g
25,Bearing (1) Ball & Bearing (2) Combination,12,Fault data split 25/Bearing (1) Ball & Bearing (2) Combination Trial 12.csv,18608514,5042286,f18ad149,0.00015625,9,Tachometer|Motor|Bearing 1 Z|Bearing 1 Y|Bearing 1 X|Bearing 2 Z|Bearing 2 Y|Bearing 2 X|Gearbox,V|g|g|g|g|g|g|g|g
25,Bearing (1) Ball & Bearing (2) Combination,13,Fault data split 25/Bearing (1) Ball & Bearing (2) Combination Trial 13.csv,18611051,5036346,9f5a4150,0.00015625,9,Tachometer|Motor|Bearing 1 Z|Bearing 1 Y|Bearing 1 X|Bearing 2 Z|Bearing 2 Y|Bearing 2 X|Gearbox,V|g|g|g|g|g|g|g|g
25,Bearing (1) Ball & Bearing (2) Combination,14,Fault data split 25/Bearing (1) Ball & Bearing (2) Combination Trial 14.csv,18608865,5043228,6c5d8a26,0.00015625,9,Tachometer|Motor|Bearing 1 Z|Bearing 1 Y|Bearing 1 X|Bearing 2 Z|Bearing 2 Y|Bearing 2 X|Gearbox,V|g|g|g|g|g|g|g|g
25,Bearing (1) Ball & Bearing (2) Combination,15,Fault data split 25/Bearing (1) Ball & Bearing (2) Combination Trial 15.csv,18608628,5040649,3ac9ba65,0.00015625,9,Tachometer|Motor|Bearing 1 Z|Bearing 1 Y|Bearing 1 X|Bearing 2 Z|Bearing 2 Y|Bearing 2 X|Gearbox,V|g|g|g|g|g|g|g|g
25,Bearing (1) Ball & Bearing (2) Combination,16,Fault data split 25/Bearing (1) Ball & Bearing (2) Combination Trial 16.csv,18606457,5046954,8779a45f,0.00015625,9,Tachometer|Motor|Bearing 1 Z|Bearing 1 Y|Bearing 1 X|Bearing 2 Z|Bearing 2 Y|Bearing 2 X|Gearbox,V|g|g|g|g|g|g|g|g
25,Bearing (1) Ball & Bearing (2) Combination,17,Fault data split 25/Bearing (1) Ball & Bearing (2) Combination Trial 17.csv,18607207,5040275,437e0b0c,0.00015625,9,Tachometer|Motor|Bearing 1 Z|Bearing 1 Y|Bearing 1 X|Bearing 2 Z|Bearing 2 Y|Bearing 2 X|Gearbox,V|g|g|g|g|g|g|g|g
25,Bearing (1) Ball & Bearing (2) Combination,18,Fault data split 25/Bearing (1) Ball & Bearing (2) Combination Trial 18.csv,18611733,5062321,54b79eca,0.00015625,9,Tachometer|Motor|Bearing 1 Z|Bearing 1 Y|Bearing 1 X|Bearing 2 Z|Bearing 2 Y|Bearing 2 X|Gearbox,V|g|g|g|g|g|g|g|g
25,Bearing (1) Ball & Bearing (2) Combination,19,Fault data split 25/Bearing (1) Ball & Bearing (2) Combination Trial 19.csv,18610106,5062459,22c1df11,0.00015625,9,Tachometer|Motor|Bearing 1 Z|Bearing 1 Y|Bearing 1 X|Bearing 2 Z|Bearing 2 Y|Bearing 2 X|Gearbox,V|g|g|g|g|g|g|g|g
25,Bearing (1) Ball & Bearing (2) Combination,2,Fault data split 25/Bearing (1) Ball & Bearing (2) Combination Trial 2.csv,18609167,5027234,9bf61d16,0.00015625,9,Tachometer|Motor|Bearing 1 Z|Bearing 1 Y|Bearing 1 X|Bearing 2 Z|Bearing 2 Y|Bearing 2 X|Gearbox,V|g|g|g|g|g|g|g|g
25,Bearing (1) Ball & Bearing (2) Combination,20,Fault data split 25/Bearing (1) Ball & Bearing (2) Combination Trial 20.csv,18608917,5060427,355e5281,0.00015625,9,Tachometer|Motor|Bearing 1 Z|Bearing 1 Y|Bearing 1 X|Bearing 2 Z|Bearing 2 Y|Bearing 2 X|Gearbox,V|g|g|g|g|g|g|g|g
